id,country_id,start_date,end_date,party_id,description,comment
9,43,1/16/54,1/8/59,1414,blah,blah
37,54,7/1/84,5/23/89,808,blah,blah
38,54,5/23/89,6/30/94,808,blah,blah
82,54,6/30/10,2/7/12,808,blah,blah
85,54,7/1/79,6/30/84,808,blah,blah
106,43,6/20/69,4/2/74,1094,blah,blah
113,43,1/16/47,1/16/54,1539,,
148,54,7/1/69,6/30/74,558,"President Heinemann was elected (yes: 512, no: 506, abstain: 3) on 5 March 1969 with votes from the Social Democrats (SPD) and Free Democrats (FDP).",
156,54,7/1/04,5/23/09,808,,
157,54,5/23/09,5/31/10,808,,
172,54,9/12/59,7/1/64,808,sup,hey
173,54,7/1/64,6/30/69,808,sup,hey
189,43,5/15/12,6/14/17,1539,sup,hey
195,43,1/8/59,12/19/65,1094,sup,hey
196,43,12/19/65,4/28/69,1094,sup,hey
198,54,7/1/74,6/30/79,543,sup,hey
205,43,5/21/81,5/8/88,1539,sup,hey
206,43,5/8/88,5/17/95,1539,sup,hey
208,54,7/1/94,6/30/99,808,sup,hey
212,54,7/1/99,6/30/04,558,sup,hey
240,54,3/18/12,3/19/17,610,sup,hey
248,43,5/27/74,5/21/81,59,sup,hey
249,43,5/17/95,5/5/02,138,sup,hey
250,43,5/5/02,5/16/07,658,,
253,54,9/13/49,7/17/54,543,,
254,54,7/17/54,9/12/59,543,,
255,43,5/16/07,5/15/12,658,,
298,43,7/11/40,8/9/44,947,,
299,43,5/10/32,7/11/40,2587,,
300,43,6/13/31,5/7/32,401,,
301,43,6/13/24,6/13/31,401,,
302,43,9/23/20,6/11/24,947,,
303,43,2/18/20,9/21/20,2587,,
304,43,2/18/13,2/18/20,2587,,
305,43,2/18/06,2/18/13,2587,,
312,54,3/19/17,,558,,
313,43,6/14/17,,2643,,
